epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.586,0.94816,7.04849,0.00918,0.00158,0.46281,0.02619,0.01731,0.83442,11.8222,0.00862,0.0005,0.0005,0.0005
2,464.141,1.05046,5.53039,0.01059,0.00299,0.87603,0.17038,0.09739,0.83681,10.6462,0.00986,0.00098634,0.00098634,0.00098634
3,685.033,1.25101,4.87846,0.01287,0.74933,0.16529,0.68245,0.40961,1.13068,9.39837,0.01342,0.00143836,0.00143836,0.00143836
4,907.406,1.25487,4.05244,0.01347,0.77074,0.77794,0.83787,0.51351,1.14759,7.14014,0.01133,0.001802,0.001802,0.001802
5,1127.95,1.20973,3.29774,0.01315,0.82813,0.79339,0.89085,0.56446,1.22975,5.38021,0.0149,0.001736,0.001736,0.001736
6,1350.86,1.23626,2.85741,0.01421,0.77398,0.84298,0.85612,0.56881,1.15416,4.00404,0.01366,0.00167,0.00167,0.00167
7,1571.36,1.29263,2.40671,0.01324,0.9023,0.83958,0.92968,0.55774,1.43117,3.29406,0.01742,0.001604,0.001604,0.001604
8,1791.58,1.27791,2.05026,0.01338,0.84077,0.90083,0.94638,0.58789,1.31362,2.48629,0.01691,0.001538,0.001538,0.001538
9,2015.66,1.22765,1.71297,0.0127,0.85286,0.93388,0.95743,0.60248,1.23638,2.00329,0.01525,0.001472,0.001472,0.001472
10,2237,1.19362,1.43643,0.01212,0.90367,0.91736,0.94978,0.63753,1.1186,1.71087,0.01115,0.001406,0.001406,0.001406
11,2458.74,1.14901,1.28679,0.01152,0.9649,0.8595,0.95221,0.62408,1.22289,1.59616,0.01419,0.00134,0.00134,0.00134
12,2680.7,1.1812,1.22338,0.0117,0.84778,0.92562,0.9567,0.6173,1.27535,1.36904,0.01227,0.001274,0.001274,0.001274
13,2901.41,1.2056,1.0767,0.01176,0.92807,0.85307,0.9528,0.57571,1.41191,1.42321,0.01625,0.001208,0.001208,0.001208
14,3122.84,1.20609,0.99015,0.01186,0.92612,0.93246,0.97254,0.63135,1.25122,1.09315,0.01217,0.001142,0.001142,0.001142
15,3341.52,1.14142,0.91042,0.00998,0.9293,0.86904,0.9654,0.66204,1.14758,0.97133,0.01259,0.001076,0.001076,0.001076
16,3562.26,1.1327,0.82239,0.00953,0.9722,0.95041,0.98156,0.67881,1.10583,0.83287,0.01209,0.00101,0.00101,0.00101
17,3784.5,1.07995,0.79073,0.01049,0.96615,0.94362,0.98842,0.68354,1.07562,0.80142,0.01082,0.000944,0.000944,0.000944
18,4002.76,1.05765,0.78931,0.01047,0.94277,0.95304,0.98393,0.66,1.15049,0.79728,0.01282,0.000878,0.000878,0.000878
19,4225.03,1.07754,0.70188,0.01085,0.98243,0.92443,0.98899,0.67738,1.14663,0.72979,0.01124,0.000812,0.000812,0.000812
20,4445.4,1.07657,0.71725,0.00958,0.96172,0.95868,0.98663,0.6939,1.01936,0.67029,0.00957,0.000746,0.000746,0.000746
21,4666.11,1.09198,0.70643,0.01265,0.98908,0.95868,0.99303,0.67679,1.12812,0.6501,0.01351,0.00068,0.00068,0.00068
22,4885.73,1.02213,0.64443,0.0122,0.959,0.96646,0.99134,0.70318,1.05363,0.62678,0.01021,0.000614,0.000614,0.000614
23,5102.47,1.01179,0.60573,0.01075,0.96593,0.93717,0.98787,0.66738,1.12974,0.64832,0.01297,0.000548,0.000548,0.000548
24,5320.26,0.99472,0.61726,0.01065,0.98768,0.93388,0.98866,0.70896,1.018,0.56446,0.0096,0.000482,0.000482,0.000482
25,5539.72,0.98254,0.55927,0.01013,0.97996,0.95041,0.98403,0.69716,1.02512,0.54277,0.00976,0.000416,0.000416,0.000416
26,5759.1,0.97665,0.53498,0.00983,0.95175,0.97808,0.98925,0.7098,1.03462,0.52746,0.00931,0.00035,0.00035,0.00035
27,5979.38,0.9517,0.52689,0.00931,0.95066,0.95535,0.98547,0.70616,1.01179,0.52903,0.00968,0.000284,0.000284,0.000284
28,6197.05,0.93355,0.50065,0.00937,0.98461,0.95041,0.98746,0.70815,1.01003,0.52321,0.00906,0.000218,0.000218,0.000218
29,6417.38,0.91443,0.47733,0.00913,0.97492,0.96398,0.98437,0.6965,1.02352,0.52685,0.00902,0.000152,0.000152,0.000152
30,6635.09,0.89291,0.49819,0.0088,0.95423,0.98347,0.98587,0.71165,1.02255,0.50916,0.00952,8.6e-05,8.6e-05,8.6e-05
